APP_ID_C,target
app_108941,2.83764931938e-276
app_108942,2.8252110096e-277
app_108943,2.43050009421e-275
app_108944,2.32928189967e-89
app_108945,7.97731081802e-273
app_108946,1.08067077762e-274
app_108947,8.87564859261e-272
app_108948,2.32968221664e-276
app_108949,4.72041125021e-273
app_108950,1.82328493909e-275
app_108951,7.49532920411e-282
app_108952,1.9016874413e-272
app_108953,3.41920737857e-271
app_108954,1.55934606382e-275
app_108955,5.94058484964e-267
app_108956,1.40935040129e-273
app_108957,3.70909809382e-276
app_108958,1.80506065974e-273
app_108959,4.72041125021e-273
app_108960,6.64683963955e-271
app_108961,2.08823463203e-272
app_108962,7.94762687177e-67
app_108963,5.55507233623e-278
app_108964,4.73198688275e-281
app_108965,1.60915662567e-274
app_108966,3.26896292708e-271
app_108967,7.41466052772e-272
app_108968,4.10153679739e-279
app_108969,8.19406303542e-276
app_108970,2.82686377903e-275
app_108971,9.94862470998e-274
app_108972,3.94972978382e-273
app_108973,7.03845191022e-276
app_108974,1.53382761108e-270
app_108975,6.35116528983e-276
app_108976,3.19500163858e-274
app_108977,3.98689900102e-280
app_108978,8.24608085699e-277
app_108979,1.37197091553e-280
app_108980,8.1141073896e-283
app_108981,1.07277752071e-270
app_108982,2.55672164704e-282
app_108983,9.70909655267e-271
app_108984,1.97562903448e-278
app_108985,7.9906124416e-278
app_108986,1.05347759487e-283
app_108987,3.70559790008e-276
app_108988,9.70909655267e-271
app_108989,9.70909655267e-271
app_108990,4.92941242027e-280
app_108991,2.82266161258e-282
app_108992,1.42029112713e-277
app_108993,1.13882746457e-278
app_108994,7.24717071953e-271
app_108995,1.79676817546e-273
app_108996,9.70909655267e-271
app_108997,8.50860573738e-274
app_108998,2.73737495112e-277
app_108999,4.42058782953e-273
app_109000,1.5404904178e-281
app_109001,1.91380400391e-273
app_109002,3.19143542447e-84
app_109003,2.59706383785e-273
app_109004,9.70909655267e-271
app_109005,3.15918815346e-274
app_109006,4.32216134683e-276
app_109007,6.83196751871e-271
app_109008,9.56437382015e-281
app_109009,8.57556367314e-282
app_109010,2.14049414765e-280
app_109011,4.88828869279e-273
app_109012,2.65465137617e-275
app_109013,3.17438499694e-275
app_109014,2.27138353662e-271
app_109015,7.10506815788e-278
app_109016,6.41756359499e-277
app_109017,7.33482510698e-283
app_109018,2.09352511679e-274
app_109019,4.18844511942e-283
app_109020,2.20835466357e-271
app_109021,4.65839213455e-279
app_109022,5.12726370843e-281
app_109023,6.31632325678e-282
app_109024,6.36597753618e-276
app_109025,3.62530495342e-278
app_109026,1.725757556e-270
app_109027,2.92511956696e-282
app_109028,3.06321036079e-277
app_109029,3.90397822204e-283
app_109030,2.02935540568e-281
app_109031,6.32840285774e-277
app_109032,1.56767187777e-282
app_109033,5.3036372113e-275
app_109034,1.25616140296e-270
app_109035,1.97735468535e-271
app_109036,8.5865050254e-271
app_109037,3.49787047922e-281
app_109038,1.78712635457e-276
app_109039,1.58314637054e-281
app_109040,1.72940558941e-271
app_109041,5.88176654372e-282
app_109042,4.72041125021e-273
app_109043,1.566574698e-277
app_109044,4.72041125021e-273
app_109045,1.3928284548e-273
app_109046,2.27910315517e-276
app_109047,1.12797034444e-270
app_109048,2.48975810962e-276
